用户ID,用户名,用户评论数,注册时间,用户平均评分
LGlk-Zb69sGQwJVu2w4U_Q,Marinda,550,2010-09-29 19:05:29,3.82
TdrlUOK1UdjDomWhrTKJ3A,Rachael Gray,51,2008-09-13 23:27:42,3.55
zOwR2zw-cEUvZ5Y-J2s15A,Joanna,74,2011-07-14 02:51:17,3.5
Y_iTTjKvV5hLy-880SZzlA,Ben,1086,2010-02-21 23:19:52,3.82
fZY97UjlP-iv35beOl_OfQ,Peter,161,2011-01-03 06:46:51,4.36
FiOmqkFmKUWQcp7-Vp5hpw,BJ,52,2010-12-30 00:36:29,3.34
qRb3sant7B3ua99_NYi9Ww,Joe,112,2011-02-10 03:58:50,3.64
9q2L_aiI6RM9Jz6fZoF1zg,Steve,17,2011-11-04 16:43:29,4.11
fj7idOQ85wqGO1iprdQZlg,Samma,104,2008-11-09 20:08:04,3.72
QSNzozwTwY9UU3QNvf-3jA,Ali,701,2012-05-25 10:24:35,3.91
6qZBWG97olYq6HIwIzIj3Q,Sebastian,462,2011-11-05 22:38:59,3.76
f4mbT-nxg2AJhqxB6XgnlA,Ken,338,2012-07-29 20:45:35,3.91
dfBQypG8Bhlrx0n6R6hrpg,Josh,81,2012-05-04 18:25:20,4.34
lu31yKwkzPmO_MgCKhGBNA,Elizabeth,323,2009-02-15 02:54:56,4.14
DQLIeWYj1YVQbxGDzw9Scw,C.,50,2010-07-11 16:59:28,4.16
bu1mtWwxuayzV6b3VScWLw,Lauren,504,2012-09-06 18:05:07,3.91
NMVURT96-Dbtq0q0ocO7ZQ,Bridgette,299,2012-08-29 22:36:14,4.27
jyXwAj5dBTpiRzi2UmKG8Q,Elle,43,2009-10-22 23:17:51,3.13
JyzLjUFEIW3epNlHI6Oa6Q,Ameesh,952,2008-10-27 03:02:53,3.87
WRWPzjZ51lJ8pp32SYXq6g,Eric,43,2012-10-02 00:27:48,3.16
OADwxJqXxuI30aB8HvI9QA,Debbie,162,2008-01-03 23:30:52,3.49
8sSu2zx6fK5nCSUrOiYUSQ,Jaime,69,2009-01-26 16:55:38,3.99
jxac2pQOPQvYY32Zk-SM1Q,Clarissa,362,2008-06-11 22:08:51,3.92
tfZNGpy7wizyz-CNulrrSA,Jenny,282,2012-02-26 23:30:36,4.34
zeqUuJ8duQmrdodYy9pz7g,Gregory,3,2011-06-01 13:51:17,2.6
ICHzvlkb4eT-PvrScO9nZQ,M,15,2011-07-10 00:06:35,4.52
JXn40FBPESLST2iMfMNJRw,Haley,100,2010-09-24 16:50:32,3.67
jGRHbahs-tpZJbrJtYthcw,Jill,80,2009-06-29 02:29:40,3.39
v2rA4SRMExUUXny6MFLb6A,Ed,46,2011-04-12 22:07:54,2.96
0Hl2BwAIz3Gi3Jhlx7AYZA,Mark,388,2012-02-28 18:55:03,3.73
fw94lNhwRxeklb2ZKAFe2w,Jennifer,233,2012-01-29 19:44:04,4.12
kO30XR2WeF6bla6dK1ZZLw,John,582,2011-08-11 15:46:40,4.14
Wfs-T59g44HuveKEoM8fJQ,Megan,87,2012-01-28 19:46:00,4.51
SGPCLi-kVZ_pz1w7VJtkeA,Sarah,212,2010-11-15 18:02:20,4.29
d8FwfuFM9SJA3kU_cIQ3aw,Nancy,501,2010-01-09 18:43:02,3.76
JlUFYRdIvbElmUqQX8wF8w,Jeremy,112,2012-04-05 15:11:08,3.46
JLAhs76XZyZTwapvvim5Zw,Melissa,233,2012-04-02 15:40:15,3.49
9Nx0VL4f_8K6V6yfFLue1Q,Gabe,752,2012-05-14 18:10:45,3.59
eUAUlyVPj631tfWfHGBK8w,Michelle,163,2010-07-17 20:40:10,3.56
-_Lfm5bztNCYXaBmrqY7tA,Ray,174,2011-10-04 20:56:56,4.26
UMMt4n-TXTuNHG4PbjYEgw,Eddie,264,2011-05-13 13:37:17,4.3
r0WkElB-Nr5xL5PlQHU3Tg,Laura,203,2010-05-27 00:36:02,3.32
WVqS85AUR20gbSFkuKH8Ig,Rick,397,2010-08-03 01:47:30,3.6
EmurkIplcpOkh4hUnSs_ww,Jeanna,236,2009-08-20 00:01:41,4.18
U6CknC8K0NTsXn_yLPV6tQ,Molly,345,2010-03-02 17:43:36,3.92
Br7NfAxcRprDceabsyxZNg,Hugh,382,2006-03-17 01:40:11,4.04
mkG7hD4ND6grmUUnhA1AjA,Kelly,118,2012-01-09 02:43:51,4.0
h4WWqOZ82sjZb47p0Rlqsg,Scott,101,2011-09-07 12:32:35,3.73
gVL7DeL70Bw5kFJTSmyR6g,Jenna,24,2012-02-28 19:52:32,2.88
sVer7l3TKwICjZ6liQD53Q,Hillary,563,2012-05-20 13:21:19,4.08
_13ZW4hu06-HLj6lzXavmA,Brian,26,2010-01-15 01:17:26,4.62
9XkpizE6dAqTmnyQ_eKLfA,Janette,674,2012-01-10 23:06:50,3.9
5Si-3Rt03p8r7fGYd-1EVw,John,100,2012-07-25 18:38:44,4.1
P4oGqCkYJ6a_LRheCUVUaA,Todd,146,2010-01-23 19:18:31,3.86
YwqWLWDj7GlxIKD6wI8CIw,Chris,108,2010-10-05 04:56:39,3.46
gGzBybf-hQAyPTl71bf5UQ,Melencia,279,2011-04-28 03:24:32,4.1
CFdSoI674_4KaVFw3LKtFw,Carolyn,74,2011-12-13 17:51:37,3.79
FSpUgCCiSqS7_q_-VeG7-A,Crystal,44,2011-08-14 16:51:55,4.2
bue9WtzcLbxvEXrqUy8dsQ,Catherine,84,2012-04-02 23:01:33,3.84
xGS_mlHcCUipSKXrHk6CGw,Alouise,588,2011-05-01 03:39:52,4.24
4nQfNTpRvt3bigYvnfNhrw,Esteban,69,2007-01-21 05:02:22,4.3
dwCqRo4qh2OCfDEESMYGjw,Christina,53,2010-01-25 04:18:33,3.62
D2VBAKQjN2L5P7RxflQFMw,Sophia,321,2011-09-30 15:02:49,3.84
jyYFzL9JCJJfejd3lJ-vRg,Carolyn,172,2012-12-08 18:57:08,3.63
-TLXQfY2lZ6DVWQj4BosxQ,Herbie,535,2012-01-15 02:05:22,4.24
JPVhwIVoTnjRUMFOPzRFzg,Danita,114,2010-12-14 18:50:01,4.32
zotktGNVftpcEr3XoSIh7Q,Scott,192,2012-10-22 14:10:43,3.87
PTX3ps_kEII6VnHPXz2qAg,Claire,412,2011-07-16 17:46:01,4.14
n0iFO9S6ZvOBh15pLeMwMw,Jessica,179,2012-02-22 16:09:09,4.26
QZ8hBQ0SMeGyj-wYPZ0RYA,Mona,18,2012-03-22 18:19:02,4.37
WfBe3uL225QWCqzLzc-Jxg,Jamie,202,2012-05-29 19:16:48,3.89
AocvLld2_GeimgYQD0GAMw,Winnie,41,2011-07-10 01:15:20,4.26
7ZauzmeTHuR-8FqnmJbOtA,Michelle,282,2011-05-14 21:46:27,3.94
bCgB0aN-4vJWI4yVtVjlHA,Stephen,330,2011-10-19 01:36:08,3.83
Dh8QUptJmiEuP-NC9rUxnQ,Yi,44,2010-04-18 02:50:57,3.42
e7qswoJFIolWdf1qX_P_oA,Bobby,112,2011-06-20 21:24:09,4.16
jxF_DlVBewT4qA3MCNvygw,Neka,44,2011-08-22 00:14:17,3.33
FA0svNuBlW-lDh5f0vRK6g,Jason,67,2011-09-06 19:37:24,3.85
Y8S5Od6GxOr0tZtLVWHpew,Melisa,140,2011-11-20 07:16:29,3.36
3x-kbXQUhrsWOcp8mUimbw,Jenn,318,2011-01-05 19:00:25,4.07
WqGJ3NB0IklvfNuYRgZLww,Steve,24,2010-12-14 05:59:44,3.31
1BB5y4sZG6mp_rPA7_QxPA,Derik,1,2012-01-19 03:20:02,4.0
TqEOK7uxaXj7SbJZKEktxw,Steve,1888,2009-02-10 03:56:30,4.02
0SMx6NDTWmS51FNP5QZApg,Melissa,76,2010-07-10 01:24:01,4.07
C3Hpsx_eDfeSmxEc1HBzpA,Aaron,768,2013-01-21 16:19:26,4.25
p0MlckLEPUEmu6BjRd4Mzg,Richard,143,2012-03-16 12:25:37,3.97
_rkBxV-UTX_LW3JmnNneoQ,Renee,44,2012-05-14 20:14:15,3.57
31waNaA_W9uTuLlS0z8Y0A,Shannon,185,2011-02-25 02:15:36,3.75
cDU-eUkimWAtpyT1afrEEw,Shannon,109,2011-09-22 13:57:52,3.75
_EyH4ozqE_IQ7e-RsrCgdg,Istanbul,16,2011-08-01 23:31:45,4.06
T3Nhi1hAa3tagnod8KP8hg,Melissa,23,2011-03-26 19:56:22,3.56
XUMkFho1Ly9A-b5UYJuYtg,Adam,2,2009-09-05 00:50:59,5.0
Fq5KZPiCyoz4sCF0LpFRPg,Izzy,115,2010-07-30 13:22:10,3.89
XS4rYA1V_Ru7tyf0Jl15aw,Mark,357,2010-11-17 15:16:14,4.09
0d7XAQU_2j0ZFI4TtOe0EQ,Hans,52,2009-10-01 14:07:44,4.12
hBEYo4aJRsUOGGoOScvJzw,Jason,100,2012-02-25 01:40:16,3.68
5erwXKnINqZim9we9S9Z-Q,Adam,10,2009-07-19 13:04:40,3.3
Uo-DCJHKxKHOPnAVN6J_TA,Riain,58,2006-05-03 14:25:16,4.17
93-AKX28wl41s9pFsQwlsQ,Eric,112,2012-06-16 03:54:12,4.12
o-G2yAhca5Kqso7CYZupHg,Liana,155,2010-03-04 19:27:24,4.2
n59W9qVHr7kKkMM0ZCspWg,Mary,63,2010-01-04 16:42:31,3.43
m4WQWEa0QBJSC5qvb4ElRg,Lauren,16,2011-07-05 16:39:55,4.31
NFxeV-swQIge0tYoWL3rhg,Darlene,64,2011-10-05 22:41:56,3.59
zeYgNwd_zKe9vKe44uUzVw,Brian,122,2012-04-18 18:28:59,4.04
RDhxRSAkOxB_dubhROyjzg,James,253,2008-01-13 04:29:21,4.09
OLGQ7alK4VKl3YdQk6UF5g,Michelle,1402,2010-04-19 19:23:27,3.78
C1MZ_yJ3Zx6UT-bsUc5DvQ,I.,114,2006-08-08 14:30:41,3.43
OwKFdMUsrY9uKMoAUt4EzA,G,22,2011-11-10 05:07:44,3.2
xC-q_yh0XwcjRLimkS3RNg,Jonny,1833,2012-01-07 19:47:25,3.64
CBHpTYlMeG6kMo0a7LODkA,Feebee,271,2010-12-21 03:17:24,3.86
uHN53aOjk_br7t8Jkgt4vQ,Lacey,91,2012-07-29 23:35:13,3.75
gz9Vd7-YBoK3aqf1O1ngNw,Sonya,190,2008-12-07 05:44:24,3.46
OkvqxXKstBw1b4dDMbZ_8w,Melanie,12,2011-10-10 04:15:56,3.5
ZrdwbZNZBXixi660Zv03yA,Shawn,10,2010-08-11 13:55:55,4.7
zqBVpjYsqiALZZJQsm_PiQ,Kim,182,2011-03-28 04:17:54,3.66
vKwoXHvV58QtXyI0KcVKKQ,Niki,248,2011-10-06 18:43:59,3.51
_kcHxYPXRYjU4hk2xtCO0w,Faith,582,2011-06-20 21:30:00,4.08
MX5A5tfAJNFR-TZ6r_Cbxg,Patrick,57,2012-10-01 14:42:14,4.76
X5362HttMZJb--itzXSjDg,Adam,103,2011-04-15 01:15:25,3.84
YWqgaqWNWLQXPzGR5c5j1w,S,53,2009-07-19 23:23:50,3.35
Htn0zMg5jDBhp-TRx1dBUg,Wells,394,2011-03-30 05:50:39,3.86
cWzndsH7NqQHQd343P2G3Q,Justin,65,2010-01-12 01:32:41,3.2
GHoG4X4FY8D8L563zzPX5w,Hannah,4994,2012-08-22 10:40:50,3.78
ggqWN-wHWHX3N_xPX7P9tw,Linda,193,2011-03-31 02:37:08,3.7
3XlkocqX1OjcpWOuBL2Mqw,Joelle,12,2009-07-28 15:37:55,4.67
wBKALvzEZM1ZxpkWeDjmsA,Tart,259,2007-07-15 22:05:05,3.76
z-6Da_I-wHK5AnXq4Cz_7w,Phillip,130,2011-04-29 19:09:33,4.02
wXBHTOwLyRmwSAV0Ui6gmg,Mike,25,2012-07-19 22:54:38,3.58
V0c-AS2FFCeSaV-3JfG5vA,Jeannette,1012,2009-12-03 23:16:01,4.2
PuBoKD0j74RzFa-xQMzjmQ,Steven,29,2008-04-15 23:32:55,3.59
cDcakQinxKO8szOx4rtP3g,Ramon,197,2010-11-30 20:15:37,3.77
m1OhStv_gXTx_YbfUqO6JQ,Katie,99,2007-04-24 17:55:56,4.36
ooRFU_Sx1YsBEZHo5LhPDA,Justin,11,2010-05-31 22:08:16,3.0
3zc9PS_da-DbdvUiGOQ4SA,Monica,16,2012-07-10 19:45:09,4.29
fT403FEKB5VJqpjq-hdVxQ,Kelly,192,2012-09-09 19:16:59,4.13
c4nSRWTJj3DgtyVWPPTfsQ,Lauren,95,2010-11-13 02:49:05,3.71
IAEa5IIAlOsZyIkEN_Bn2A,Jennifer,39,2010-08-10 21:49:54,3.8
4sKwbWAL75oIWTyIuPz-fQ,Harold,13,2008-06-09 02:21:45,3.67
zCg2mUmicb4Cssv3ScouSw,Emily,221,2009-05-24 04:14:19,3.96
JkyZ_0wVGoyYka5Pbw6Z6w,Chris,679,2012-01-13 20:22:26,3.22
HYbuVGYiyPLVEv5OaCPE0w,Matt,26,2012-12-03 21:00:06,3.73
jIGFSS0CEI4cTksW0k9-xA,Katie,83,2011-05-24 01:18:45,3.32
PpUKzltQOf2ptVuKxTyeVQ,Carrie,205,2012-01-30 01:21:45,3.51
hILJ3-JPKMwd1BAPrNC9oQ,Profession,40,2009-05-26 23:59:47,3.32
3p8ue8wIF7Cr7kUlFi9CAQ,Matt,68,2009-12-27 00:53:30,2.99
-kLVfaJytOJY2-QdQoCcNQ,Christina,1454,2012-10-08 01:25:31,4.21
jlrEnb9FlR2ZbsY9iIMk6g,Nathaniel,50,2009-02-05 20:18:16,3.56
TIeXcKbDeGBy-UsgSjRJQg,Don,74,2011-06-08 00:04:26,4.51
Dj-pjIbe90yBlCPjSoUNrw,Nicole,112,2009-07-18 02:48:15,3.62
waN6iwcphiVEoCews4f4CA,Jerry,1198,2011-06-27 04:03:31,4.17
MDtd2pqpOroIfwSJ4OpdKQ,Sarah,326,2011-05-11 16:33:38,4.34
I-wq3PJNBlaZ8tpi0SdS8A,Ben,1315,2010-04-12 01:18:57,3.85
s2Mnlw9nOJ6l3SUckyi7mg,Christina,104,2012-05-23 16:58:45,3.59
hn18xnU4C5wM_rlQ06FANA,Sarine,147,2011-03-22 18:59:30,3.67
yK-2oGtDxm8XLg7hVVdQ-Q,Brian,151,2011-04-23 12:29:57,4.3
2khAy7DTp3dUmeDJ4ZYw6Q,Bruce,149,2009-07-04 17:52:17,4.41
t3yOpTibhuvd-Lt7FMvqKg,Erin,179,2010-08-22 22:58:26,3.93
_PA6seBirZQmgHEmVgPigQ,Zach,17,2012-11-26 17:18:05,4.71
Ccb1-pROzPfmXfvC8o2ZRw,Nicki,416,2011-08-23 15:35:40,3.6
WtKeiYlHBaG_N6ntgua80g,Brad,27,2010-02-17 21:02:36,3.85
E2cyXbNdTpnR7Vn6_vtdKA,Jack,9,2011-07-08 17:34:51,4.2
-j_XG8sSIxT7cDPWl47gNg,Scott,22,2009-02-24 16:26:46,2.92
cPN4Kkk6UDTXCynsp_-7KQ,Danie,135,2008-11-26 03:16:06,4.09
QYxywQOPiK9dxBxahEMORg,Mike,22,2012-11-16 06:36:36,3.55
T2CenOfGvQsbAEY9YdNhBQ,Danon,349,2012-06-19 01:50:50,3.15
yA230n0MbamXygr11NxDjg,Wilma,124,2011-06-12 06:02:30,4.5
6j5Y9Q8wgJXl--AIMKaH8A,Sasha,173,2012-09-03 14:31:21,3.66
SRd7-3R8jG_WHAS5C4BfaQ,Shannon,89,2012-01-04 19:00:23,3.89
b4hKq2XFGFTQiI3Qj26W2A,Jennifer,237,2011-09-19 16:43:42,3.82
2md4AYkBRDKvoH8YWkdgXg,Blaire,58,2012-10-25 03:06:11,4.14
imGQirCh-t_Kftb4U7VuUA,Matt,501,2011-03-12 14:49:56,3.87
XrWAdRK4CUUK85Ak3x-HDw,Christina,430,2011-01-26 15:22:21,4.26
jXX-G_goCYZZrLSDY8qXdg,Tian,592,2011-03-26 04:14:59,3.63
7_cyx6mQQIeOqa0MORcgZQ,Marc,110,2007-04-01 22:45:39,4.18
QPggVAGP4X4bqfwP1id7Pw,Jess,40,2012-04-04 01:28:38,3.83
QAsPn0I7QQHWbQy203Btfg,Julie,103,2011-06-13 18:30:29,4.03
Uv5v7r1eN4XFsKZ2jwn1sg,Brian,819,2007-04-30 02:04:40,4.04
Rxx3Eac70Q5AYLETwlMGiw,Elva,97,2012-05-18 00:11:48,3.3
fjqbn7Ixf53VVul7UFdXJg,Ashley,106,2012-07-15 22:01:04,3.96
R-SBZKv1XtuODkgkDEtt2w,Nick,44,2010-08-29 07:56:31,3.7
hCBKnwAKN0hcu6OTzuCAEw,Ashley,317,2012-09-22 03:49:10,3.82
fYTamBVBQn1ov12OhhJ4vg,Lauren,567,2010-06-13 18:11:48,4.13
EKHHI7vhB8apw1NFdrEwQA,Erik,33,2011-03-01 16:25:49,3.62
bbtc1OcdwTOsz3i7WwpHGA,D Louise,235,2009-02-17 19:04:47,3.15
6nwKICMjYAlK_yRM9YxpHg,John,290,2013-03-31 05:19:27,3.79
rL2hC27iA1AB9RvdLLbkNA,Sara,283,2013-07-05 19:21:48,3.08
0yrF14nWVAFeI0fG29a63g,Betsy,851,2007-09-19 23:38:40,3.86
leDIDqF88UxUU5DPY90PSg,Shauna,163,2012-05-04 20:27:38,4.19
fEfrVyZOcOKViCWVb2q6zQ,Emily,127,2011-03-14 12:29:51,3.92
uVkOwBbW6G0FFd_KsM2qnA,C,13,2008-11-12 01:56:01,4.29
OIygI2H2N74-O88rtFrQVg,Lianne,1410,2006-10-18 04:54:13,3.74
HVAz1kANuNrX3zqVe4iRPw,Kat,475,2012-03-31 02:57:10,4.38
2btMPwEpuFtaXLhQg3s_sg,Valerie,98,2009-10-22 01:52:42,3.14
QczCdRxNPg08FGbrj9n0VA,Matt,350,2011-01-24 18:50:19,3.17
AFLID_qyrrbEepehgVvbSg,Maria,361,2012-06-03 02:56:37,3.88
eJY8svAq_1pt1VQiHu7lew,Angie,966,2011-01-29 06:37:25,3.92
7igTVTgqI3WiqZp8hrgaMA,Yelp Was Supposed To Delete This,181,2010-12-06 22:16:55,3.95
Pj7oG3izwwQrTQi07PBkyw,Sharon,388,2011-04-10 01:35:47,3.86
RpCBawMgTjeAugLOmpd5Gw,Veronica,54,2007-02-06 03:55:51,2.87
zYFGMy1_thjMnvQLX6JNBw,Wanda,1405,2012-11-15 05:18:16,4.17
DP7ddvk4zqxdbYeHU2Qa0g,Naomi,132,2010-04-24 06:21:02,4.4
O8bqW6_vB0rfjtyzvyHOzQ,Jashan,6,2010-09-17 21:11:26,4.17
7aUF31hoPn-u5kMVJ7BonQ,Tim,39,2010-06-12 17:11:00,4.33
IrSRpcw5AprLa604sa_TBQ,Don,277,2011-03-15 23:56:03,3.95
2M5nrxf_CBlu-y0lKoqGhQ,Melissa,573,2011-03-12 19:09:45,3.85
whLn2WLjAad7sBkcog-wsA,Monica,301,2010-10-07 16:35:12,3.25
j5YS-J6kytVelaMYUKFNlg,Katie,403,2010-09-23 03:14:58,3.81
wzA2spUhc2G1yQNNJsS8EA,Nisheet,179,2011-12-29 04:33:04,3.9
VJ-5b4O4-QsfRAKEezebCg,Brian,80,2011-12-21 01:36:15,3.75
408hwioZ-qUozGrKzoqKqQ,Breonna,283,2013-02-11 19:02:38,3.75
VigsAph76fP7pechJ743EA,Rachel,828,2010-08-15 07:06:08,3.76
ws0qQrcIZKa8F4siAT5Lxg,Brian,42,2012-05-04 19:59:21,4.05
OI1kiLZU9-6qs6hh0KxB1g,Justin,10,2010-09-22 15:45:46,4.3
N0U5qnS_T9BmzAGrD8DlLw,Nora,24,2012-12-15 03:40:11,3.85
WIDiCSoG68ScNeLLhORN6A,Tino,251,2011-09-19 22:46:11,3.47
ldtxYghu6OLAMxRkkKh3uA,Gerardo,558,2012-05-25 18:06:57,3.72
Cvi8nZTwDVaQkqmmgQwQMw,Diana,320,2010-11-04 15:16:49,4.05
slpyLHWsvPXwj1XPoyjugQ,Vy,123,2012-04-09 19:36:58,4.37
CN8a9MdGwsgJQGoHTrBXWQ,Erin,19,2011-02-26 22:59:11,4.05
R5Nh8wSPHCnPLXwpybQOiQ,Katy,1053,2012-11-01 13:08:59,4.12
VNDDhFOdqF7DCPpz0GFMyA,J. Christopher,548,2010-08-24 01:53:26,3.76
dOHsZ88NUZFqFhtXwB6zyg,Jaymes,188,2008-03-08 01:11:09,3.05
KRTwbY8J7DA72OQ9t3ofzA,Micki,13,2011-02-13 18:28:13,3.0
WDX_KkxwI8VYOF3RHpNLpA,Stephanie,374,2011-04-19 03:15:49,4.41
5eiLUiKhnbVteCkqKGYl8Q,Esther,276,2010-08-14 08:53:44,3.96
9eoGGgxkxCTOslJjN0xOSg,David,137,2012-05-16 13:45:55,3.55
vYMvOTL31e0KbTo9Hd0tjg,Nick,1774,2012-02-03 00:23:44,4.07
-TdnnNdi7xAW-xR7lcEXXQ,Carlos,168,2011-05-12 02:30:13,4.06
q46P4WXcdOeIx0yE5keY9Q,Jason,1205,2010-06-09 05:17:53,3.91
7JhpYlphHU46gxWBhzeo_A,Jimmy,192,2012-03-24 03:59:54,3.68
ko4ajOQx6lTbua7lZdvb9Q,michael,3,2011-09-07 22:57:50,5.0
XwaM3J0igbwbFy8zpGB15w,Arthur,335,2013-02-28 16:04:01,4.13
ow_UcjjTpoUR_eAi5yQSEw,Cris,48,2010-06-13 15:11:03,4.26
nE4-2L0tVZYcBF-uyk0KlQ,Beth,13,2009-01-23 02:33:29,3.88
lpU8cxZU_md7tj0B8Vz0tQ,Rhiannon,20,2013-01-01 02:51:55,4.55
Qaa2sxNfZyTUcmu2hpGTgw,Leah,125,2012-04-23 02:39:16,3.56
r9S0VYrdXJrdhfR7OXj8tA,Dana,748,2010-12-30 01:42:42,3.51
1k4GFvMYN6678nhe8eGqlA,Christina,130,2012-10-13 18:30:33,4.49
ElN0bVArCpXS0jvvqMc5vQ,Stacey,26,2011-02-05 22:46:16,3.61
j5z0Gc42mPBT3Qcqk_obSg,Jay,379,2009-11-06 04:12:17,3.75
ID0Oa95fJLgV6GEFqf9aSA,Kt,31,2013-02-13 03:18:03,3.58
K7EJEADlrJL9H9rd6Do2mg,John,6,2011-10-15 20:22:28,4.5
xC0EwX1RMsM99vVVisKLfQ,Sarah,378,2011-03-07 01:49:31,4.16
N08zbwcZ5zToLnCZAFmByg,Denise,81,2012-05-17 22:44:11,4.32
84lcVCz48xx5Jpfi4rB2Zg,Queen,677,2011-01-11 23:26:01,3.21
8kds6aNl-Lkj_N0yqiMspA,Kristen,7,2012-03-30 15:48:03,3.57
LWZPsSBB2F9OwzFSyHn9qQ,I,28,2010-01-08 17:07:11,4.11
YZ7WPYfqGLq_og5jMV2XUQ,Chad,25,2012-12-17 23:26:23,4.32
tc30FB3bqXGz7oC_Cj_ltQ,Steve,9,2011-10-31 01:02:46,4.89
Nun2tsAdXkcOLXBM4PG9XA,Esther,308,2011-01-26 15:47:02,3.96
Houkdf1HYH3R5R2KNCwQcA,Monica,9,2012-02-27 03:05:51,2.0
1fXS4UoB6VPPPiKISWb6uQ,Kayla,86,2010-12-12 14:24:08,3.59
EkIIFm2zmqloYWXRHbwwqw,Katie,266,2011-01-20 01:26:57,3.97
kgekOZSsOhjtviiRkqnGxg,Tymika,18,2009-04-22 12:12:33,2.83
U0iT329n01nNubidPZJhMQ,MSizzle,49,2010-10-30 17:52:35,4.33
WA7WBW_7fDsevBZz8pT8Aw,Phil,62,2011-02-23 21:31:31,3.79
BaVAIYKYSSEMT5_sXRiwLg,Shelby,268,2012-10-08 14:11:35,4.4
0UFu4fCvBeM0Mojs5NL14w,Derek,18,2009-06-21 19:45:17,4.17
2S_TNGTL1gDTDu3T2GYuXQ,Megan,312,2011-03-11 07:16:39,3.8
MpQ8K-NFcIB1gvNUwnAYgQ,Derek,164,2013-01-29 16:56:05,3.93
zQ1OJLGeBLGEcnIPzxlCPA,Don,91,2012-11-26 15:36:11,3.9
oF20BNxcphfedn93Nfwd9w,Mel,737,2012-08-13 19:33:08,4.04
0dxR_Q8PCOOWNkfpvI4t3w,Joshua,437,2012-06-30 18:56:10,4.31
xBSFz5aZMQ8TUv3KgGwthw,Shannon,157,2008-12-01 06:24:57,4.56
bEeSIGO72QkAZMupUDF2Mw,Erik,50,2012-03-21 21:00:36,2.98
4af7IWHRc890BUKcAGlyLQ,Noelle,396,2008-06-29 19:00:31,3.85
uaURMprG-udxpAoZefixEg,Madison,224,2012-06-17 19:40:39,4.39
ATK1ItQDQsHD5IG3sUGNnw,Carmela,1040,2013-03-25 20:15:19,3.93
M2NS_aQbMY2apoYjTlOCng,John,590,2011-05-08 16:43:43,4.3
A1nIXS5XEWeZ2EUUcOsurA,Alanna,555,2012-05-15 19:34:44,4.25
G5qF80FAj6qMa8FA9Wc2Xg,Marvin,4,2008-08-18 20:31:32,4.4
EUmofULqSINV1F3JGb8mYA,Joe,61,2009-08-21 00:58:28,3.25
Jed-PEquPj78qyejkevQyQ,Louis,340,2011-09-08 15:32:39,3.32
Q8ehc_ZPMZxQXeomyqGIhw,Cliff,99,2010-11-12 01:10:08,2.77
vbTVyyBl88xVRlTQcBXTUA,William,490,2007-12-13 00:31:32,3.69
qoY16uo9rhK42HvRAuWrCg,An,51,2010-03-24 05:25:00,3.87
hGsyXTRuzUSDtop9PGjrog,Greg,49,2011-10-05 01:11:01,3.97
GODSDHvAdsxs80E-H_8vbA,The Acerbic,97,2011-10-26 02:09:44,2.59
4iRGLZ0pbCgI9zUefSlOiA,Tara,203,2012-03-14 19:11:04,3.71
N0SqCo8ukFB3d3S5OdRQxA,Stephanie,17,2010-06-20 02:53:23,3.89
8FilOF3rJfF3MktgqpsvMA,Steve,385,2012-06-10 23:17:22,4.56
4s9GXeD6bPBED0cy6HwQ_A,Jane,9,2012-02-09 15:49:01,4.0
vb4vJ1AfSca0qpY9ybzvUw,Joe,44,2011-12-10 00:45:39,3.0
RwLm-HWnXh8LtWnie0_kIw,Duy,19,2011-01-19 17:28:24,3.47
b1M_AfAr7DPio9m1oSS7RA,joe,11,2009-08-26 21:46:00,3.36
gTRXMC6NwtZO35ZngKzRzg,Hope,284,2011-04-16 16:54:52,3.55
0DK-fg2ZBnpkMKnU9SgPMQ,Vince,326,2012-09-13 17:18:04,3.71
3Av38uh8aHDvZMV_1eojQA,Dan,630,2011-08-09 13:02:54,3.95
ZOqhpXPwPPvP5nlW7W_EAw,Jackie,36,2011-03-17 06:50:54,3.33
o6UJMpHcpLJEvmKLrxLS3w,Michael,315,2011-03-28 01:39:01,3.71
Vw-2QsrVJbxV6JryaxR7_Q,Parmela,61,2011-11-12 15:29:43,3.29
_mMGDi9ZSY-r85GAEcsksg,Thomas E,550,2009-11-29 20:12:00,4.31
ioDTSZBmkfOpYohkekzPGw,Katera,59,2011-06-23 22:01:25,3.19
sraTrYU-7q_bQ0TxQrLJvQ,Brian,913,2010-05-21 17:25:55,4.15
Gv-D2ODquTBrmYiPVzxDlg,Amanda,306,2010-02-02 17:43:39,3.91
TNYM6vmcp1Nxibt7vsbx3g,Lisa,778,2011-12-06 20:04:55,4.28
V1rial53zLecglzJl9cIMA,Brian,229,2011-06-03 00:09:40,3.6
t1NNDZV1kMoyZeE5mr3U3w,Anita,164,2011-12-27 18:26:59,3.63
e3L8WXi1t481HuEk6yo8YA,Dustin,216,2012-09-01 18:25:31,3.8
VYgpunBJtq7UQPw2pzjq7Q,Jim,27,2009-05-04 22:15:30,2.9
tgkjSWCcWXAAk2DScYmQrg,Vanessa,311,2010-06-13 21:15:47,3.32
vCUeFAY774VtmpszX9hyGA,Nataly,541,2011-07-07 20:10:35,3.96
iJE3RnVcfHM3jsM4I6WFCw,Ade,429,2011-04-19 20:17:24,3.76
