用户ID,商家ID,评分,评语,评论时间
81M9MYz6Z_IiEPshrkhGrQ,PlaECqs3oPBRo47p85zkzw,4.0,"When in Nashville I had one food mission.... get some Hot Chicken!  Party Foul was highly recommended by a lot of locals, so a bunch of us tried it out. It was busy but our group got a table right away. Our group had a lot of questions about the drinks (boozy slushies) and what the best food was. The server was awesome, she explained everything. From the different types of spice levels on the chicken...mild, medium, Nashville Hot and  Poultrgyeist. I went with the mild Hot chicken -1/2 bird with cole slaw, texas toast and pickles. I was so glad I choose mild, amazing flavor not a lot of heat! I did try some of the other flavors from my coworkers, med was really good but to hot for me. A few people got the hot and lets just say it brought tears to their eyes.

Lot's of drink choices but I wanted a nice cold beer to go with my hot chicken. I had a good people Ipa- very tasty and a pale ale- lighter but smooth. I did have a taste of the BOURBON BANANA BANSHEE- this is one of their boozy slushies...damn this was really good like a piña colada to the extreme!",2018-12-19 18:01:07
81M9MYz6Z_IiEPshrkhGrQ,SGPYov8J5Yl-UTo8Yogl1w,3.0,"Came here with a large group of people, we had reservations but this place was so empty we really didn't need them.   Since I haven't been to many Greek restaurants I leaned on my group to make decisions on what we should order.....   First of we went with their famous Estia Chips,  thinly sliced zucchini and eggplant that are lightly fried and served with tzatziki....these are so freaking good! We devoured these so fast we had to order a second set.  We also had the cheese saganaki,l pan fried Kefalograviera cheese, served with lemon.  Iv'e had this in other places where it is served and then they put the flames out and its amazing.... here it's served on fire but you decided when to put the flame out.... and our group was unsure when to put the flame out. It was still good but I have had better. Our group also enjoyed the calamari and mussels.

For dinner I ordered the Thursday Special GRILLED SCALLOPS ....Jumbo sea scallops grilled with lemon and olive oil with fresh citrus and roasted zucchini. But unfortunately after I ordered our server came back out to inform me they were all out...... I was disappointed because it was only 5:50pm and they were all ready sold out :(  So I  went with the Organic Chicken a roasted leg and breast served over caramelized onion .... the breast was good. but I wouldn't order it again. 

I would come back, hopefully they have more daily specials. Otherwise I'll just go with appetizers and drinks.",2017-09-07 21:56:32
81M9MYz6Z_IiEPshrkhGrQ,sB45WFgysT617bKWP_WJwA,4.0,"A trip to St.Louis would not be complete without a visit to the Budweiser Brewery... right? We walked in and joined the next available tour, the Day Fresh Tour. We sat down and waited the few minutes until the tour started.

The Day Fresh Tour is the the journey of a beer from seed to sip.We started out seeing the Budweiser Clydesdale Paddock and Stables.. great photo opportunity here! Just wish they had a Clydesdale out for us to pet. Next was the Beechwood Aging Cellar(love the smell here) the historic Brewhouse was very interesting and the BEVO Packaging Facility. So many different beers being packaged..very cool.  Had a few samples on tour and  also got to will take home a day-fresh(about 12 hours old) bottle of beer! Lot's of interesting information and history, loved seeing all the memorabilia on the walls and in cabinets. 

After the tour you get one pint of beer to enjoy on site. A few comfy chairs and couches inside or grab a spot outside. There is a gift shop onsite, lot's of different items. I got a shirt on sale for $12. 

Tour was about  75 minutes and tickets were $10. I'm glad we checked this place out and did a tour. I think you do it once and your good.",2019-05-13 18:57:46
81f0mlg4mZrzVIkNKKEYtQ,D00oq_GL2RzcSiHh2QLP3A,1.0,"Everything has gone downhill at this casino. My husband and I visited Harrah's Philadelphia at 11PM last night. By the time we left (@ 4 hours later) I noticed:

-the slots are tighter than ever
-the only eating establishment that was open is terrible
-we couldn't get water or ice at the ""free"" beverage dispenser on the casino floor
-there needs to be security present in the ATM areas, I felt very unsafe when two strangers approached me as I withdrew cash
-the ""C"" bar/lounge isn't even open when you want to relax and get a drink (yes if I'm handing you $$$$ at 3AM I should be able to go to an open lounge!!)
-we got no free play/comps whatsoever even though we played (and lost) nearly  $1000 here on our last visit 3 weeks ago
-a casino experience cannot be this horrible if they want customers to return

My husband and I both agreed:
-The lack of quality food options, a bar that's open, security placed where needed, and low % payout on any slot machines we played are very real problems.
-This casino won't stay in business much longer if they don't improve conditions.
-We have no desire to come back here anymore.",2012-10-12 15:28:04
82UbpDEPMGJ9Sod8a1U-cg,MM_v-KIUJiXLCxnkIqPKWA,4.0,"Soy café makes me wish I were a ""NoLibber"" (I'm not quite sure if anyone actually uses that term but, whatever).

Anyway, Soy is everything you could ever want in a café venue:
(a) Delicious & unique specialty beverages (smoothies, teas, coffees - made to order with their homemade soy milk, of course. I particularly enjoyed their Soy Chai and Cocoaberry smoothie - cocoa, bananas, raspberries, oatmeal, soymilk & honey)
(b) Fresh, healthy dishes and snacks including a wide variety of vegan options (that grilled eggplant wrap, just...wow. PLUS it's surprisingly filling)
(c) Plentiful seating (including a cute little outdoor patio area in the back)
(d) Quiet, relaxing atmosphere aided in part by the lime green and bright purple color accents
(e) Various magazines & newspapers to peruse to your heart's content
(f) Service with a smile

Despite its admirability, I must share a few words of caution:
-They are cash only, but have an atm
-They are slow - definitely not a ""grab and go"" type place unless you are just getting a coffee or a counter-sitting baked good. Everything's made to order - aka you WILL in fact witness the peeling of the carrots on your wrap. This could be quite agonizing if you are in a rush. I warned you.

In conclusion, I will continue to walk my 1.8 miles to patronize Soy. Did you hear that Mugshots? DID YOU HEAR THAT?",2011-12-19 21:46:41
83Yma9AkPprHOGc8OgQ9uA,zSDqW5cZq9Bg7O9vMpJ6Tg,4.0,"Finally a Cuban Restaurant in Boise!! Went and checked it out with my mom tonight and it passed the ""Cubans"" test with flying colors! They just opened this week, so they are still fine tuning, but overall great service and authentic food. Go check it out!",2012-06-16 02:23:25
84HvpQDxcHWmbMDfs8IEYw,kn0-Tc4JFnpnlCyqG-3X9A,3.0,"I know reviewing chains is a big no no among those trying to be too cool for school.  That said, not all of us living in Center City can afford Center City prices. 

I'm not reviewing the food, you know what that's like.  All I'm saying is that if you wanted to try this iHOP, even secretly, do it soon.    When I went in they had so many staff working that I didn't wait more than 2 seconds without getting what I wanted.  Also, it was still pretty clean.    You know how it is though, it won't be for long so hurry in.",2009-08-30 10:51:36
84lcVCz48xx5Jpfi4rB2Zg,617w8MQE3z1szmLvs0WfCw,5.0,"Vegan Latin Food- sign me up! 
I'm not sure what part of my meal I enjoyed more, 
The tasty empanadas with vegan dip?
The tortilla soup that I crave and love, but can seldom have because it's presented with chicken in 99% of the establishments, or the savory guacamole- finally a new take on a classic dish. I can even say the cauliflower tacos- and I hate that vegetable. Perhaps it's the dessert which was an elevated pina colada, but 100x
More awesome- my taste buds felt as though they were sipping coladas at a pool. 

Though all these dishes were perfect- those potatoes with vegan whiz were to die for. 

Thanks to the staff for taking care of us-
Despite a late reservation. Can't wait to come back",2018-07-04 07:27:42
84t6jpyclA55TMfMV0X0kA,23qa5SsahSsVhqAVmX6aow,5.0,"Super fresh and tasty food at a brewery ! My salad was fully loaded with pesto chicken, parm cheese, heirloom tomatoes and was coated in a tangy red pepper vinaigrette. Definitely one of the better salads that I've had at a restaurant, let alone one that specializes in beer and greasy food. Other hits at the table were buffalo calamari and grilled cheese which actually came pressed in a waffle. 

Despite being at a brewery, my friends and I actually decided to forgo beer and instead tried the blackberry sangria! We didn't want anything too heavy and this was a perfect light and refreshing option.

There are a ton of great restaurants in the area, and Vault came highly recommended from my bro + sis in law who live nearby. Will definitely come back next time I'm visiting, especially since I have yet to try any beer!",2017-09-25 14:01:50
84t6jpyclA55TMfMV0X0kA,6Ty-KKWq6hLZYW8DWEHYvg,4.0,"The hurricanes here don't seem that strong...until you stand up. 

We sat out on the back patio (which is gorgeous) and enjoyed a famous Pat O's hurricane. Although the price point of 15 dollars is a bit steep, the drinks are enormous and really strong. 
Yes, it's pretty crowded and touristy but I'm totally fine with getting drunk for 15 dollars while sitting on a beautiful patio in the sun. Nothing has, and nothing will ever be wrong with that statement. 

Oh! Don't forget to hold onto your hurricane glass- we were happy to learn that you can either get it boxed up or trade it in for 3 dollars. I kept the glass and now have it at home as a souvenir!

Not much else to say here, because I only stopped in for a drink. It seems like most other reviews are pretty similar. This is right in the thick of the French Quarter madness, and is definitely worth trying at least once.",2016-03-08 17:56:30
84t6jpyclA55TMfMV0X0kA,ChlcxTEoWBQJXJ2Xb2vm5g,3.0,"The ambiance is way better than the food. Food is still decent, but if I'm looking to spend bank on a classy and delicious meal I'll probably head elsewhere next time I'm in New Orleans.

Because you can call ahead for a group reservation, this is a good pick for a large party. We were here for a bachelorette party dinner and they were also able to create a custom printed menu with our bride to be's name on it and a customized dessert. It's all about the small details, and I really appreciated these nice gestures.

The food certainly wasn't terrible, but it wasn't knock my socks off either. To start, we ordered the greek veggie pizza, the stuffed chicken wings and a charcuterie plate. The charcuterie plate was probably the standout, and had this awesome pork spread which is something that I've never seen before. Didn't try the stuffed chicken, but the greek pizza was kind of narsty - the crust was really soggy and flimsy.

I was having trouble choosing between the shrimp and grits and braised short rib, and ended up going with the short rib. The actual cut of meat was super lean and I really enjoyed, but the flavor of the sauce over the whole dish just really didn't do it for me. Once again, not bad, just not the greatest. 

Dessert was incredible. Some kind of s'mores brûlée custard pudding goodness. I don't even know. I just ate it, and did not ask any questions.

The meal was pretty pricey, but between a few shared apps and desserts, an entree each and some bottles of wine we certainly had plenty to fill up on!",2016-03-09 18:23:23
84t6jpyclA55TMfMV0X0kA,Mwc3n5Psw9wRaQ22vZWDYQ,5.0,"Dope brunch spot. I'm not in Philly often so I wouldn't want to repeat a restaurant, but it'll be hard to pass up Bar Hygge next time I'm visiting. 

The brunch menu is fairly small (around 7-8 ish entree options) but luckily everything sounds great. I went with a breakfast frittata - stuffed with goat cheese and veggies, drizzled with a spicy green sauce and topped with crunchy onion rings. Yup you heard me right - topped with a mound of golden fried onion rings. Pure perfection. The frittata was  also massive and covered my entire plate. 

While my frittata was amazing, I have to admit that I liked my fiance's biscuits and gravy even better. I only snuck a few bites unfortunately, so I'll have to order for myself next time.

Portions are large and prices are fair. Everything is in between 10-14 dollars. Only thing I didn't   love about my meal was the cold brew which had sort of an odd flavor.

The decor is charming and is filled with antiques and cool artwork. Outdoor tables were filled but I wasn't mad because of how cute the interior was. 

The verdict? The perfect pick for a lazy weekend brunch in Philly. Very happy that my friend led us here!",2017-06-08 14:14:19
84t6jpyclA55TMfMV0X0kA,OMpHvwN3cxkbldKbKskc5g,5.0,"Surprised to see a 3.5 rating! I stopped by the Bistro At Haddonfield for lunch with a few friends and we agreed that it was a 5 star experience all around.  

Let's start off with the menu - it's absolutely huge. Basically like a hybrid diner / cafe menu with a ton of salads, sandwiches, wraps, burgers, soups and more. You can go classic with a burger or grilled cheese or kick things up a notch and try cheesy crab bread or loaded greek fries. It took us at least 20 minutes to figure out what we wanted - everything just sounded so delicious.

I ordered an Italian panini which came stuffed with fresh mozz, proscuitto, tomato and basil. The sandwich was served on thick and crusty bread and came with two large halves plus a side of fries. For 9 dollars this is an enormous amount of food. Other orders at the table included a pork belly burger, falafel and a fig and prosciutto salad. All portions were large and beautifully presented. Most importantly, everything was freshly prepared and delicious.

Even though this area of Haddonfield has lots of cute restaurants the Bistro will be hard to pass up during future visits!",2017-11-28 18:40:45
84t6jpyclA55TMfMV0X0kA,t6g6Lj8WzjIXXucCl9jdTQ,5.0,"Oh my gosh, T-Swirl is amazing! Their menu is huge, so once you've decided if you want to take the sweet or savory route be prepared to spend a few extra minutes figuring out exactly which crepe you'd like to order.

I kept things pretty classic and ordered a banana nutella crepe. This was perfectly simple, sweet and delicious. The crepe is absolutely massive and is well worth the 7-8 dollar price tag. It came stuffed to the brim with lots of nutella and bananas. Next time I'd probably order the same crepe, just with strawberries. 

My first visit was in Philadelphia, but I was happy to learn that they also have a location in North Jersey! Next time I am craving a crepe I know exactly where I'll go.",2017-12-05 15:06:34
84t6jpyclA55TMfMV0X0kA,yuIhKvOjgDbYCkgw-j55sA,3.0,"We stopped in on what was arguably the first patio day Saturday of the season, so needless to say it was crowded. Okay, crowded is an understatement. It was PACKED. 

Food didn't seem like an option, but when we learned the wait was around an hour we decided to put our names down and kill some time by enjoying a beer on their large grassy lawn. Side note, the lawn is absolutely huge and amazing for outdoor day drinking! Although it was really crowded the lawn it so spacious that it was okay. 

After what seemed like well over an hour had passed, we checked on the status of our table. Apparently everyone is told that the wait time is around an hour, but that really means nothing. I think lying to people about a wait time is a huge bummer. That could really make or break a decision to stay, especially if you want food! I think by fabricating the wait time they hope they can make people stay and drink more beer. It's frustrating. We ended up taking our business next door. 

Besides the wait time mishap, the brewery is dope. They (obviously) have a large selection of great beer and a great space with plentiful indoor and outdoor seating. I'm wondering if it's always as crowded. 
Hope not. 

We came back for late night eats after a show at The Fillmore, and they didn't disappoint. The Asian style cauliflower was delicious and so was the pretzel and cheese sauce.  

A cool space to day drink in Philly -- my advice is to not come hungry and bring a blanket for the lawn. If you don't mind waiting a bit to grab a beer you'll be solid.",2019-04-22 13:09:59
85MGG8JzI85ilc12PDDhyA,e8rmWzn0xD34dslXQ3pj5w,1.0,Portion size is extremely small considering the price. $26 for 3 small pieces of pork belly. Overall this restaurant is priced above comparable restaurants in Las Vegas or Los Angles. Meat quality is average. Pork bellies were frozen and it took a minute to separate the slices and got torn into even smaller pieces.,2019-08-26 00:43:23
85rGU0L7rS1AoSdtxQIKag,FTFaEinJgzqY0ZHQMUSpQQ,5.0,"I love this place. I'm not in love with many restaurants, but this one has a hold on me. We've always had great service, great food, and great beer. You really had me at great beer, but I guess the rest is ok too.

Another thing that I'm in love with is their oyster shooters. 2 bucks a pop. Served in a little shot glass and delicious every time. The real question is how many will I order this time? Served 4-6 during Happy Hour, but if you ask, you can get them anytime. Our last visit introduced us to the pastrami. Thick cut and served on toasted bread. Oh so good. She got a salad. Can't remember which one but we did a lunch tango. Switching dishes back and forth. IPA is always on tap and I'm sure the other beers are good, we just don't roll that way. It's hops or nothing. 

The restaurant has a nice patio area to hang out and enjoy the Santa Barbara weather, comfy seating inside by the bar in chairs that remind you of mom's house, or booths if you're looking for that intimate dinner date. Not sure if that last description is true. Never tried it. We're always near the bar and in the middle of people watching central.

Thanks Brewhouse for all the memories!",2015-11-23 03:03:35
85yyAqkW8xvwKuDHNODI-w,SVSafDWg9r2Q5XEVOLPSSA,1.0,"I moved my family to Reno.we have chinese food twice a week, I live around the corner from the pepper mill casino, I asked the duck house if they have egg drop soup & won ton soup? she said yes, then i ask if i could have it mix? she said no. then i asked can i please buy both and mix it myself? she said yes, I ask for a to go cup of soda because im a germphobe,  she said we do not offer that as she got me a used but clean glass of soda. I said  im willing to buy the glass of soda and buy  a to go cup of soda, she said no. why cant i buy both? the Waitress said something to the manager rudely in there language and the owner said to me, you must leave now!  2 seconds later he snapped LEAVE NOW !!!  this is why they have no business 7pm but 1 person on a Saturday night.",2018-05-21 21:42:13
864nL0po2ldN8TPgbSiwOQ,VVH6k9-ycttH3TV_lk5WfQ,4.0,"Yeah yeah yeah best fried chicken in New Orleans, maybe the best around, but I find it off that you don't serve these mysterious Scotch Milk drinks. Not that I want to try it at home, but I'm not opposed to experiencing it where it originated from.

Lines are long and full of tourists and it's small, but the décor is quaint. Under good advice I went there well before opening because they also close at 5pm daily. If you don't you'll spent half your day here. 

Service is very good, fully expecting that the food will speak for itself and that staff brings the hospitality to take your experience over the top. 

Chicken uses a wet batter that really sticks to the meat, locks everything in, well seasoned, tender, juicy. A dark crust. Hand frying is great when done well, but I found some inconsistency in the wet batter versus dry or a mixed dredge. Split a thigh and breast so I could have a half dozen sides. 

Corn bread was good, plenty of flavor, but could use some contrast. The muffin version kept the crust to center ratio nice. Mac & Cheese is traditional and good, not crusted or finished with bread. Fried okra was light and fresh, almost like a fried shishito sheen, not it wasn't fried in the same oil as the chicken, completely different profile. Bread pudding was good, but needed a better glaze. The lemonade was great. Fresh squeezed. Like most of Nawlins, no wifi. I was hoping for cocktails, but sadly none to be found. Leave the peas alone and get the butter beans, probably their best side they offer, so creamy, complex.

It's a great place, a solid find, but to me not the best fried chicken around. I actually figured that ""southern"" doesn't mean a thing in that NOLA chicken tastes nothing like places I've had in ATL, Arkansas, South Carolina. Etc.",2015-08-22 23:20:15
8690gLMZkjXU3xzV-DObTA,zxuVnNVAUm16Sro0dS_lmg,4.0,"First let me say, because if you are like me and you like supporting business that 'give back' either via buying from local farmers, or are seasonal/sustainable, or donate, talent, or resources... you'll love the fact that Chef Colin has been very generous to local non-profits in the past through Roundabout Catering. 

As far as Roundabout Grill goes, it is a beautiful restaurant! It manages to tie in nature-urban themes and be classy and hip all at the same time. Two of the larger walls are covered with plants, they also have swinging chairs, incorporate logs into their features, have an open kitchen, and a 'closed off with bead strings' party section. Their tables have lovely rusty-classy wood tops.

The service was slow at times (but they were busy and had a private party going), but was exemplary otherwise. Our waitresses were super professional and polite. 

I had the House Pasta with the $5.00 Meal Salad. The Salad was huge! It came with 1/2 of a butter lettuce garnished with feta cheese, strawberries, roasted pecans, and apple strips. FYI it comes with what tasted like a mayo based dressing, so if you hate mayo (like me) or are vegan ask for a vinaigrette, but this was on me because I failed to ask what the dressing was! 

The house pasta was very good! The noodles were like longer macaroni noodles (about 3X the size) and cooked perfectly, they were truly delicious! The pasta was garnished with freshly grilled tomatoes, spinach, and huge cubes of rich and creamy mozzarella! The olive oil sauce was rich and tasty. My only criticism the pasta was just super rich - a little bit more of acidity to balance out the richness would of made it a 5 star dish versus yummy 4 star dish.  I'd still order it again :) 

As far as Roundabout Grill being 'vegetarian friendly' they have two meals that were vegetarian (one of the two were not vegan -maybe ask for no cheese?) and if I recall about 4 vegan/vegetarian friendly salads. FYI the warm beet salad looked and smelled amazing!

Definitely will be coming back!",2016-08-28 17:30:15
89aoy6WORObOOdU5yPQxoQ,uJZgom8HpK74xz8IojpT0A,3.0,"I have to say that this might be the review that I have agonized over the most about and I will explain why. 

I really was looking forward to trying Beddia, I had obviously heard great things and people had spoken highly of it but I always seem to miss a chance to go because they are only open Wednesday - Saturday which is a little annoying but honestly it's their prerogative on their hours. 

I walked into Beddia on a Friday at 5:29 pm, before I can say a word the guy says if you order a pizza now it will be ready at 6:10 pm. Ok useful information. But like many of the reviews here there is no warmth or friendliness in this guy's voice and no greeting to speak of. Maybe this is a results of the volume of people that he deals with here on a daily basis. So I say ok cool I would like to order one, can I add toppings, he says yeah whatever you want.

So I order their I guess standard cheese pizza ($22ish) and then proceed to add salame, mushrooms, and bacon. At the last second I ask to add some arugula, the guy taking my order gives me this winced face and says yeah I would recommend you just keep it simple. I gave him a puzzled look and thought is this guy going to be sharing the pizza with me? What does he care what I put on it? But after seeing that it's $3 for arugula I said fine hold the arugula. 

I will say that if Joe and/or the staff thinks that patrons should only order certain toppings then have some pizzas on the menu and don't offer topping options, different people will inevitability have different tastes.

I paid my $32 for a pizza and left, came back at 6:10 and picked it up. I have to say the no chairs thing is their thing but I do agree it's a little annoying and I struggle to understand the need for tables if you aren't going to have chairs.

I have to say that the pizza is very good, it is light and airy, crisp, and has good chew. The sauce, cheese, and toppings were very high quality although I couldn't find any bacon on my pizza but maybe I missed it. 

In the end though, I don't think that this pizza is better than Roberta's in Brooklyn or Pizzeria Vetri in Philly. 

I understand that Joe puts a lot of time and love into these pizzas and he cares deeply about them. But he also should attempt to listen to his customers about what they would like. Also improving the bedside manner of the people taking orders would help. 

I would say just look at the reviews on here, the ones that receive the most Useful likes are the ones that point out where Joe could improve his establishment. I am never for bashing a place or ripping it to shreds without reason but there is certainly always room for improvement to better serve your customers, maybe start with chairs/stool at the high tops and a more personable manner.",2014-11-03 16:34:26
8Akq8sh1LSmJbqa6Jjxxqg,ZgsAlMs5S-TsViLcy9CVhQ,5.0,"There is something I've been missing from my scrambled eggs I make at home. I did not know this prior to Tuesday morning. It is not a secret ingredient, but one I've never considered to add to eggs. Now I realize the magnitude of not including CILANTRO on my eggs. Now, I know that I will never, ever be able to eat scrambled eggs without that wonderful plant. No cilantro will equal no eggs in the Todd R. household. 

Of course, I could always go out to 3 Sisters and order the scrambles that they have so prominently displayed on their menu! It is so wonderful to see such care and detail put into a description of your breakfast item and it comes out even better looking than you imagined. The Vanilla Cream French Toast is incredible and a full order is much more than you bargained for. Get the half-order and a scramble and it is MORE than enough food. It is also very affordable. I ordered two entrees, got what seemed to be a half-gallon of OJ, ate enough food for two (maybe three) people and still got out for less than twenty bucks. I can still taste it now...",2010-09-29 03:51:06
8Akq8sh1LSmJbqa6Jjxxqg,Zx05t1cRAipPrpQOtzd9RQ,5.0,"Yes! Yes! Yes! 

First hooray: Great rehabbed location, the old Monon Railway's Broad Ripple train stop/station! 

Second cheer: Sustainable, responsible, thoughtful business practices. Served on real dishes (that can be washed) and only selling sodas that come in glass bottles (that can be 100% recycled). 

Third woohoo: Killer ice cream! I had the Yellow Cake Batter - Insane! Never had a better cake batter ice cream. It had little chunks of chocolate (representing the chocolate frosting of course) and I swear I was really eating a Duncan Hines yellow cake. I also had the Chocolate Choo Choo (but of course in a train station) which was a chocoholics dream (or recovering addicts nightmare, depending on perspective.) 

If you haven't tried this place by 4th of July you may be in for long lines. Go! 

Now!! 

Quit reading and go already!!!! 

Peace.",2010-06-24 03:19:36
8B-aHZo5c5_Hje1FQm2vPQ,fgTOJRkc703E4XRdcr5zRA,5.0,"Finally! Good bubble tea has finally arrived in tucson!

Nice large space where you can hangout too.",2014-08-28 22:59:05
8CSd-C5PgFTVv2SZtrujPw,Bda92vtAuK-FcXAw_D0Pxw,4.0,"This place was such a great find! You don't find many restaurants that offer endless sushi and hibachi, and for such a great price! Lunch is $10, and Dinner is $20. 

A few of the other reviews mentioned how slow service was. I was only ever here once, but our service was great. Our server was helpful, personable, and accommodating. 

The food was good. I've had better, but for that price it's definitely worth it. I just wish they had a better selection of sushi. 

If ever in the area again, I will definitely be back!",2016-11-12 01:49:54
8DSmRfg6P1KzyH41u1LHUQ,ZRSVqYaoo3VMvthb2QEJmw,5.0,"Everything here is a couple of notches better than it has to be. When we showed up on a freezing Friday night, we'd have been happy with a nicely roasted chicken, a side of plain rice, and whatever bland vegetable they chose to give us. Instead, we discovered that this place has a real cook in the kitchen!

Why have I never had black beans like these before? They were so spicy, I was breaking a sweat in the middle of January, but they were unbelievably delicious. I ordered the stuffed red pepper, which was filled with these luscious, peppery beans and chunks of onion, carrot, and sweet potato. The rice and beans were moist and mildly flavored with broth and onions, and the jerk chicken was suffused with spice. If they have their homemade ginger beer, definitely get that and not the bottled stuff. It's awfully powerful, but so very good.

I'll note that the place is barely larger than my living room and when they filled up, service was not fast. But the waitress kept checking up on us, letting us know when things would be ready, and generally taking good care of us. This place is a little gem.",2010-01-31 01:39:55
8Daz-3479FRw0wFUAr71pA,GmaZOaUG47DRbfzKAGKwcA,4.0,"I knew that I'd be heading to Brownsburg to explore a nature park, but I had no other plans. Didn't even know what would be possible thanks to Corona Virus. 

But once I had walked the entire loop at Arbuckle Park, capturing the scene as I went, I worked myself up a good appetite. But where to go?

Just then there was a frenzy of activity in my brain as I considered where I was, remembered Plainfield and The Oasis Diner was not far away, and finally might be able to use a gift certificate I'd been saving for the perfect opportunity. 

So #Franny and I headed to Plainfield. We #found the diner, I scanned the menu, and I ordered something I'd never dreamed possible but wore the name of the restaurant: The Oasis Burger 

And it was delivered just as described: two beef patties covered with cheese, bacon, pulled pork bbq, slaw, and pickles, served on a brioche bun with a side of fries. 

The only thing I could do when it was in front of me was laugh. And pick up my fork and knife and dive in!

All I can say is that it was so sloppy but so good that I didn't feel the bbq sauce all over my chin until I was driving back to INDY, AFTER I had said goodbye to the staff! ‍

And, no, I could not eat it all. So yes, we will be reunited soon. 

Now more than ever, friends, we need to support our local businesses if possible. #Getlostindiana at Oasis Diner.",2020-05-03 13:46:15
8DhezGja4jrOAIn-ueQUcw,uJZgom8HpK74xz8IojpT0A,1.0,"Let me start by saying pizza is a huge part of my life.  My friend sent me an article/video about this place and I was so excited.  I knew what I was getting into with the long line &  2 hour wait.  

I purchased one plain pie and one with salami and Sausage for $52.  I'm always in search for a great pizza.  I've had many great experiences from Pizzaria Bianco in AZ to Arturos in NYC.  Money and patience to wait for something special is a caveat I have no problem with.   At the end of the day, the pizza has to be good.  Unfortunately even with the meticulous care put into each pie by Joe, the pizza just wasn't tasty.  I was VERY DISAPPOINTED.   I am a fan of the San Marzano sauce which Joe doesn't use and like a chewy thicker crust.  I will never ever go again.  My friend and I had almost a whole pie left and I gave it to him.  Just didn't care for the taste.  Too much cheese.  I like a better distribution of cheese and sauce ratio.  Tasted seriously like a Celeste frozen pizza I ate as a kid.  

Save yourself time and money and avoid this hipster hype with no pay off like the plague.  It seriously was a pizza nightmare.  If I can save just one person from wasting their time and $ this post was worth it.",2015-07-30 01:51:52
8EEMp5zd4GAV_tmwE0QxJA,9FiiDY8Nrmdn81jHHvJSlA,4.0,"The Olive Tree is BYO, so right off the bat they have a leg up on other restaurants in the area. I thought the food was delicious, and it was a nice change from the Italian, American, pubs, and all other sorts of restaurants I frequent. We ordered the calamari as an app. It came grilled rather than fried. This was the first time I'd eaten grilled calamari, but I actually liked it better than fried. My girlfriend ordered the chicken with eggplant (can't remember the greek name for the life of me), and I got the lamb shish kabob. My girlfriend really enjoyed her meal. It was a huge cut of chicken topped with eggplant and spices. I really liked my plate as well. The lamb was very tender, and the seasonings were definitely different but tasty. Our waitress was really friendly and could've been cast as an extra in My Big Fat Greek Wedding. Only downfalls were that it was a little expensive and that the place was CRAZY EMPTY. I kind of felt bad about that. We went around 7 on a Thursday night there were only a few other tables taken. Made sense that when I called to make a reservation she sort of laughed. Would definitely go again but maybe on a Friday or Saturday when it's hopefully busier.",2015-10-09 10:58:26
8EIZ1e5drpdN1agO1t5EmA,HqIDCsKbkVLSQPzXp6eSew,3.0,"Stopped by after craving some Italian.
Not quite sure what the rave is about necessarily at this place but I've definitely have had better. I can't quite pin what exactly was missing from both my bf's and my meal but something was off. Both plates were a bit tasteless in our opinion. 

Our waitress alleviated that feeling with her great customer service so I will acknowledge that but otherwise, not. 

Upon checking in via Yelp, we received a complimentary Limoncello--so that was nice of them and it was delicious.
For our dessert, we shared their Coconut Cheesecake (try it) and that seemed to be the main highlight of our date night. 

A-Ok Italian.",2016-09-25 07:20:47
8EMU7d4pCkdqUnvlIW40CA,4UDm69SbXGjjlbVVy3GNcQ,3.0,"I had a very weird lunch experience last week at the Blue Bell Inn.  I'll explain below.  First of all, let me begin by stating that the Blue Bell Inn is a very popular and historic dining venue on the Skippack Pike in Montgomery County.  It has been around for years and will continue to be.  It is totally immune to good or bad Yelp reviews because people like to go here if for nothing else - the atmosphere.  It has multiple outdoor eating or drinking areas and also has many options indoors.  It looks good!

Recently I was passing by the Blue Bell Inn and hadn't eaten lunch and thought I would stop in for a quick midday meal.  I figured I would probably have to sit at the bar as I noticed how many cars were in the parking lot and that the outdoor areas were filled.  Sure enough that was where I was taken by the host which I was fine with as the Phillies afternoon game was on TV.  The bar was not busy.  The bartender eventually came over to ask if I wanted to have a drink and I said ""not today.  I'll just have water and I'm ready to order"" which I did.  That was the last the bartender talked to me or even looked my way.  When the water didn't come I asked her again and she sat a glass in front of me without responding to my 'thank you' or looking at me.  A busboy brought my lunch to me at the bar.  The bartender never asked if I needed anything or if everything was okay,  When I was finished, she sat the check down without asking if I wanted anything else.  My credit card was taken and the slip returned to me to sign with no words expressed and looking the other way.  I totally have no idea what I did that she didn't like - except for the fact that I didn't order a drink.  I saw her name was Stephanie on the credit card slip and I will never set foot at that bar again if she is ever tending it.

btw - My roast beef sandwich and French fries were decent and was just what I was looking for.  

I like the Blue Bell Inn but it will probably be awhile before I go back based on this experience.  I thought the service was very rude for absolutely no reason at all that i can figure out ....  and I don't expect that from one of the iconic restaurants in my area.",2021-05-12 14:23:45
