商家ID,店名,地址,城市,州,纬度,经度,评分,评论数,分类,营业时间
NT5S6JV5wPwKOd3s3Yh1zQ,Burger Up,2901 12th Ave S,Nashville,TN,36.1215944,-86.7904765,4.0,857,"Restaurants, American (New), Sandwiches, Burgers","{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:0', 'Saturday': '11:30-21:0', 'Sunday': '11:30-21:0'}"
jYJm1uJ8HR1PI1hejZu_Ew,Mosaic Restaurants,1001 Washington Ave,Saint Louis,MO,38.63136,-90.1939379,3.5,159,"Lounges, American (New), Bars, Restaurants, Tapas/Small Plates, Tapas Bars, Nightlife","{'Monday': '11:0-1:0', 'Tuesday': '11:0-1:0', 'Wednesday': '11:0-1:0', 'Thursday': '11:0-3:0', 'Friday': '11:0-3:0', 'Saturday': '11:0-3:0', 'Sunday': '11:0-1:0'}"
ZpgVL2z1kgRi954c9m9INw,United By Blue,205 Race St,Philadelphia,PA,39.9539294,-75.1432262,4.5,135,"Breakfast & Brunch, Food, Coffee & Tea, Restaurants, Sandwiches, Shopping, Fashion","{'Monday': '0:0-0:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-17:0', 'Saturday': '8:0-17:0', 'Sunday': '8:0-17:0'}"
7T1VAYHIS3cgsDj3iS6JWQ,The Frosted Fox Cake Shop,6511 Germantown Ave,Philadelphia,PA,40.0487762,-75.1834594,5.0,104,"Bakeries, Food","{'Monday': '0:0-0:0', 'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-15:0', 'Saturday': '10:0-17:0'}"
PeczUJRFYkZBvAyMxzXPSQ,Kaleisia Tea Lounge,"1441 E Fletcher Ave, Ste 101",Tampa,FL,28.069055,-82.443811,4.5,440,"Restaurants, Vegan, Juice Bars & Smoothies, Coffee & Tea, Asian Fusion, Tea Rooms, Food, Vietnamese, Cafes","{'Monday': '0:0-0:0', 'Tuesday': '11:0-19:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0', 'Saturday': '11:0-19:0', 'Sunday': '12:0-18:0'}"
VVarKkODJTs_qx_gz4Hxbg,Pollo Tropical,3900 Park Blvd,Pinellas Park,FL,27.8387988,-82.6869209,2.5,116,"Chicken Shop, Fast Food, Latin American, Mexican, Restaurants, Caribbean","{'Monday': '10:30-23:0', 'Tuesday': '10:30-23:0', 'Wednesday': '10:30-23:0', 'Thursday': '10:30-23:0', 'Friday': '10:30-23:0', 'Saturday': '10:30-23:0', 'Sunday': '10:30-23:0'}"
_P0-D02F_0SgFUuJLtHK1A,Flan Factory,1718 N Nebraska Ave,Tampa,FL,27.9601553,-82.4514236,5.0,129,"Restaurants, Latin American, Sandwiches, Cuban, Desserts, Food","{'Monday': '0:0-0:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '9:0-20:0', 'Sunday': '9:0-18:0'}"
q7mKAD93-EeSpeOa9Hu4BQ,Sakana Sushi Bar & Japanese Restaurant,7655 Town Square Ln,Reno,NV,39.531853,-119.91288,4.0,302,"Sushi Bars, Japanese, Restaurants","{'Monday': '16:0-21:0', 'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-21:0'}"
W3vh-SwbjqvTWczrDOsKgA,Chiba,8312 Oak St,New Orleans,LA,29.9488275,-90.1319128,4.0,264,"Food, Restaurants, Japanese, Nightlife, Bars, Sushi Bars, Lounges","{'Monday': '16:0-22:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-23:0', 'Saturday': '16:0-23:0'}"
1817ULc2--fRD1eWnFLg3A,The Brass Tap,10047 N Dale Mabry Hwy,Tampa,FL,28.042757,-82.504513,3.5,158,"Bars, Restaurants, Sports Bars, Beer Bar, Music Venues, Salad, Nightlife, Arts & Entertainment, Pubs, Burgers, American (New), Chicken Wings","{'Monday': '11:30-23:0', 'Tuesday': '11:30-23:0', 'Wednesday': '11:30-23:0', 'Thursday': '11:30-23:0', 'Friday': '11:30-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-23:0'}"
aRcqxBPtEiyXqyJmgcU9dw,Capriotti's Sandwich Shop,"1530 S Stanford Way, Ste B",Sparks,NV,39.521299431,-119.7420065129,4.0,141,"Sandwiches, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-20:0', 'Saturday': '11:0-19:0', 'Sunday': '11:0-18:0'}"
EB56UJGZclhx9y5c7VMfFQ,Green Iguana Bar & Grill,4029 S Westshore Blvd,Tampa,FL,27.9042524,-82.5270875,3.5,169,"Restaurants, Bars, Sports Bars, Nightlife, American (Traditional), Food, Beer, Wine & Spirits","{'Monday': '11:0-3:0', 'Tuesday': '11:0-3:0', 'Wednesday': '11:0-3:0', 'Thursday': '11:0-3:0', 'Friday': '11:0-3:0', 'Saturday': '11:0-3:0', 'Sunday': '11:0-3:0'}"
xYDO35xImuSEGO5fKk6UtA,Box Of Cubans,10323 Causeway Blvd,Tampa,FL,27.92238,-82.33851,5.0,161,"Food, Restaurants, Juice Bars & Smoothies, Sandwiches, Cuban","{'Monday': '0:0-0:0', 'Tuesday': '7:30-16:0', 'Wednesday': '7:30-16:0', 'Thursday': '7:30-16:0', 'Friday': '7:30-16:0'}"
7Cx7EYUGQ2_KHS80s87rbw,Healthy Garden & Gourmet Pizza,200 Haddonfield Berlin Rd,Voorhees,NJ,39.8575896,-74.9872221,4.0,132,"Event Planning & Services, Vegetarian, Comfort Food, Juice Bars & Smoothies, Food, Caterers, Pizza, American (New), Vegan, Salad, Restaurants","{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-20:0'}"
l6SCfDSkeFdD5ccMK0ZwlQ,Clearwater Bagels,1871 Gulf To Bay Blvd,Clearwater,FL,27.9603225,-82.7598496,3.5,122,"Restaurants, Bagels, Coffee & Tea, Food","{'Tuesday': '6:0-12:0', 'Wednesday': '6:0-12:0', 'Thursday': '6:0-12:0', 'Friday': '6:0-12:0', 'Saturday': '6:0-13:0', 'Sunday': '6:0-13:0'}"
rz06Vrx_VL3EyP9m2XlzDg,Marco's Restaurant & Lounge,2380 E 54th St,Indianapolis,IN,39.8515187,-86.1228005,3.5,135,"Nightlife, Bars, Restaurants, Steakhouses, American (Traditional), Italian, Lounges, Pizza","{'Monday': '17:0-21:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-22:30', 'Saturday': '17:0-22:30'}"
c-bNmSeRVifpRTegX2aGZg,The Melting Pot,6683 Delmar Blvd,University City,MO,38.656397,-90.3081297,3.5,184,"Desserts, Food, Gluten-Free, Restaurants, Nightlife, French, Bars, Fondue","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '12:0-21:0'}"
0cB1kDuZCvSwpJrNdtQP8Q,Giordano's,43 North Illinois St,Indianapolis,IN,39.7681769,-86.1596387,3.5,284,"Restaurants, Pizza, Italian, Salad","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-21:0'}"
RRIJlZUVvz2CkMrDn2UziQ,El Merkury,2104 Chestnut St,Philadelphia,PA,39.952185,-75.1758693,4.5,162,"Desserts, Restaurants, Gluten-Free, Food, Salvadoran, Latin American, American (Traditional)","{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0'}"
QRotJ0k3qj4ecdqNprStxQ,Tres Amigos Cantina,2025 W Brandon Blvd,Brandon,FL,27.9365309,-82.317421,3.0,249,"Restaurants, Mexican, Burgers","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}"
12GUv17IX7dJbuzeBxBCyg,J J's Pie,555 W 5th St,Reno,NV,39.5300704,-119.8220502,4.0,252,"Italian, Event Planning & Services, Pizza, Caterers, Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}"
7M4acncueqDznH9AwgPjeg,Maggie's Waterfront Cafe,9242 N Delaware Ave,Philadelphia,PA,40.0434234376,-74.9895148466,3.5,221,"Nightlife, Cafes, American (Traditional), Event Planning & Services, Bars, Restaurants, Venues & Event Spaces, Salad","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}"
WnVNjr9zVEpK85T7dbAfEg,Santa Cruz Sushi,5640 Meadowood Mall Cir,Reno,NV,39.4742977,-119.7810184082,3.5,126,"Sushi Bars, Restaurants, Fast Food","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-18:0'}"
01ikDdFTvc2-YXeyv-YXjg,Two Stones Pub,2502 Foulk Rd,Wilmington,DE,39.8257593,-75.4991932,4.0,158,"Restaurants, American (New), Gastropubs","{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-0:0', 'Saturday': '11:30-0:0', 'Sunday': '10:0-22:0'}"
1hPvAr6D7yPpGbD_4RMqmQ,Treno Pizza Bar,233 Haddon Ave,Westmont,NJ,39.908728,-75.046305,3.5,304,"Restaurants, Bars, Italian, Pizza, Nightlife","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}"
zC_2cSAkMKkSAykOk72LcA,Alésia Restaurant,7204 Central Ave,Saint Petersburg,FL,27.770676,-82.73819,4.5,293,"Restaurants, Vietnamese, French, Chinese","{'Monday': '0:0-0:0', 'Tuesday': '17:0-20:0', 'Wednesday': '17:0-20:0', 'Thursday': '17:0-20:0', 'Friday': '17:0-20:0', 'Saturday': '17:0-20:0'}"
OmJnaVUJH9EVR-TYldv4JA,Matador,110 N Wayne Ave,Wayne,PA,40.0445899,-75.3881254,3.0,253,"Restaurants, Tapas Bars, Mexican, Spanish","{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-23:0'}"
rF0xI_3jjlsEKp3N0Z0BuQ,Trattoria Totaro,639 Spring Mill Ave,Conshohocken,PA,40.0750524,-75.2945235,4.0,135,"Italian, Restaurants","{'Monday': '17:0-21:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:0', 'Saturday': '17:0-21:0', 'Sunday': '17:0-21:0'}"
zp9OcdUq2CWtQuI9FFBOQQ,Iovine Brothers Produce,1136 Arch St Philadelphia,Philadelphia,PA,39.9530156477,-75.1595171081,4.5,204,"Fruits & Veggies, Food, Specialty Food","{'Monday': '8:0-18:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '8:0-18:0', 'Sunday': '9:0-17:0'}"
o3hDZ2nv80tApZMNQw2aZA,Ameristar Casino Resort Spa St. Charles,One Ameristar Blvd,St. Charles,MO,38.766902,-90.485339,3.0,200,"Resorts, Hotels, American (New), Casinos, Event Planning & Services, Restaurants, Nightlife, Hotels & Travel, Arts & Entertainment","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
dERS4qwl9v-Gwft-Ug8APA,West Ave Grille Jenkintown Restaurant and Food Truck ,718 West Ave,Jenkintown,PA,40.0957738,-75.1265509,4.0,277,"Restaurants, Sandwiches, Breakfast & Brunch, Caterers, American (New), Comfort Food, Food Trucks, Event Planning & Services, American (Traditional), Food","{'Monday': '10:0-15:0', 'Wednesday': '10:0-15:0', 'Thursday': '10:0-15:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-19:0', 'Sunday': '10:0-15:0'}"
37bC4XOD5w2M_6JWt6uJSQ,Valley Forge Trattoria & Lounge,1130 Valley Forge Rd,Phoenixville,PA,40.1181876,-75.4900431,3.5,112,"Lounges, Italian, Nightlife, Mediterranean, Bars, Restaurants, Pizza","{'Monday': '10:0-22:30', 'Tuesday': '10:0-22:30', 'Wednesday': '10:0-22:30', 'Thursday': '10:0-22:30', 'Friday': '10:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-22:30'}"
PQYuPr2Dfm2S49EULjl1qw,El Puerto Restaurant & Grill,1623 E 5th Ave,Tampa,FL,27.9586968,-82.4405728,4.0,400,"Argentine, Latin American, Peruvian, Seafood, Spanish, Restaurants","{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '12:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '12:0-21:30'}"
m_WAtarb_zHe4uFCT8wNyA,Ruby's Diner,5 Coulter Ave,Ardmore,PA,40.0089686,-75.2901091,3.0,104,"Burgers, Restaurants, Diners, American (Traditional)","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-20:0'}"
Ojo9FRfQ5Ruuv35RK2D1AQ,Mi Casa Mexican Restaurant,"3223 E Louise Dr, Ste 108",Meridian,ID,43.6027879,-116.3539036,4.0,234,"Restaurants, Mexican","{'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}"
WlQt5eBlsMeEKvuG4fP3kA,Primanti Bros,5221 Noggle Way,Indianapolis,IN,39.6370999,-86.0799985,3.5,111,"Bars, Salad, Sandwiches, Restaurants, American (New), Sports Bars, American (Traditional), Nightlife","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-23:0'}"
Rmx12lwZbs94MkPaS2o7vw,Whole Foods Market,500 W Germantown Pike,Plymouth Meeting,PA,40.11418192,-75.28110864,4.0,174,"Grocery, Food, Specialty Food, Health Markets, Organic Stores","{'Monday': '0:0-0:0', 'Tuesday': '8:0-22:0', 'Wednesday': '8:0-22:0', 'Thursday': '7:0-17:0', 'Friday': '8:0-19:0', 'Saturday': '9:0-20:0', 'Sunday': '8:0-21:0'}"
tmB7B9n_9ZW-I7-ONaAG9A,Cafe Cibo,8697 4th St N,St Petersburg,FL,27.85136,-82.638678,4.0,227,"Event Planning & Services, Italian, Caterers, Restaurants","{'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:0', 'Saturday': '17:0-21:0', 'Sunday': '17:0-21:0'}"
SQf5H-fDeS623sXXeVYO0Q,Poccadio Grill,1045 Broad Ripple Ave,Indianapolis,IN,39.8697031,-86.140621,4.5,138,"Moroccan, Halal, Mediterranean, Sandwiches, Restaurants, Comfort Food","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}"
xP5o6PVU3tWOixLJTIdVVA,Fast Eddie's Bon Air,1530 E 4th St,Alton,IL,38.8882588,-90.1624833,4.0,368,"Restaurants, Dive Bars, Bars, Sports Bars, American (Traditional), Nightlife","{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '11:0-0:0'}"
K7vvEwRd6Y8gRftjeuASuQ,Mykonos,628 Dodecanese Blvd,Tarpon Springs,FL,28.1554135827,-82.7599114074,4.5,410,"Restaurants, Greek","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}"
v_AbyvMdKUi_ac4A8nkG-A,Jason Aldean's Kitchen + Rooftop Bar,307 Broadway St,Nashville,TN,36.1614919146,-86.7759911536,3.5,665,"Nightlife, Restaurants, Southern, American (Traditional), Beer Bar, Bars","{'Monday': '11:0-3:0', 'Tuesday': '11:0-3:0', 'Wednesday': '11:0-3:0', 'Thursday': '11:0-3:0', 'Friday': '11:0-3:0', 'Saturday': '10:0-3:0', 'Sunday': '10:0-3:0'}"
sxuv5uZU15UHGT_HB1xYxQ,Islands Restaurant,3825 State St,Santa Barbara,CA,34.438119,-119.748456,3.5,197,"Bars, Burgers, Restaurants, Nightlife, Sports Bars, American (New)","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '10:0-21:0'}"
nTkJq7iDAcPyoe2zP5NhyA,Blooming Grove Inn,234 W Upper Ferry Rd,Ewing Township,NJ,40.2598913,-74.8323906,4.5,103,"Breakfast & Brunch, Restaurants, Food, Nightlife, Italian, American (Traditional), American (New), Bars, Cocktail Bars","{'Wednesday': '16:0-20:0', 'Thursday': '16:0-20:0', 'Friday': '16:0-20:0', 'Saturday': '16:0-20:0', 'Sunday': '16:0-20:0'}"
qHJbcBFjNM2Pf-cmWw7OqQ,Pacific Thai Cuisine,"4058 Tampa Rd, Ste 5",Oldsmar,FL,28.035137007,-82.6543432493,4.5,243,"Sushi Bars, Restaurants, Thai","{'Monday': '16:30-21:30', 'Tuesday': '16:30-21:30', 'Wednesday': '16:30-21:30', 'Thursday': '16:30-21:30', 'Friday': '16:30-22:0', 'Saturday': '16:30-22:0'}"
0M1l6p96IffjQi9EZsdVhw,New Orleans Marriott,555 Canal St,New Orleans,LA,29.9531676,-90.0673047,3.5,594,"American (Traditional), Event Planning & Services, Hotels & Travel, Hotels, Restaurants, Venues & Event Spaces, Arts & Entertainment","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
KobS8yqBelXH11gaIhZJSg,The Endless Summer Bar Cafe,"113 Harbor Way, Ste 180",Santa Barbara,CA,34.4034873694,-119.6937026829,3.5,258,"Seafood, American (Traditional), Burgers, Bars, Nightlife, Restaurants, Cafes, Sports Bars","{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0', 'Sunday': '11:30-22:0'}"
uA65fNR33daws3d2SoEvIA,The Hermitage Hotel,231 6th Ave N,Nashville,TN,36.163685,-86.7825982,4.5,206,"Hotels & Travel, Hotels, Nightlife, Restaurants, Event Planning & Services, Bars, Lounges","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
lX50JpkI4TCttcsyMYOcKw,Inn of the Hawke,74 S Union St,Lambertville,NJ,40.3626917,-74.9435508,3.5,156,"Bars, Event Planning & Services, Hotels, Restaurants, Hotels & Travel, Bed & Breakfast, Nightlife, American (Traditional), Pubs","{'Monday': '12:0-21:30', 'Tuesday': '12:0-21:30', 'Wednesday': '12:0-21:30', 'Thursday': '12:0-21:30', 'Friday': '12:0-21:30', 'Saturday': '12:0-22:0', 'Sunday': '10:0-22:0'}"
-ad35BhAZvtgrccfWI2kuQ,The Chattaway,358 22nd Ave S,Saint Petersburg,FL,27.7483366,-82.6383665,4.0,212,"Restaurants, Venues & Event Spaces, Burgers, Event Planning & Services, American (Traditional)","{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:30'}"
UNtta3w643ZWsJ7JDxhC9g,Hammerstone's,2028 S 9th St,Saint Louis,MO,38.6066346,-90.2051672,3.5,174,"Bars, Nightlife, Seafood, Pubs, Restaurants, Sandwiches, American (Traditional), Breakfast & Brunch","{'Monday': '6:30-1:30', 'Tuesday': '6:30-1:30', 'Wednesday': '6:30-1:30', 'Thursday': '6:30-1:30', 'Friday': '6:30-1:30', 'Saturday': '8:0-1:30', 'Sunday': '9:0-0:0'}"
pIoIdh3M-RQ9ohTtgzGd9A,India Grille,3456 Naamans Rd,Wilmington,DE,39.8282702,-75.5427271,3.5,117,"Restaurants, Indian, Halal, Pakistani","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-22:0'}"
v7dKKlpLH36GQTIX5qIReQ,Phoevermore,1017 Casitas Pass Rd,Carpinteria,CA,34.3962013859,-119.5140363579,4.0,108,"Restaurants, Vietnamese","{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '15:0-20:0'}"
l4ce2PFU6NWUvJYRZTl6-g,P.F. Chang's,"49 W Maryland St, Ste 226",Indianapolis,IN,39.7666047,-86.1595627,3.0,324,"Restaurants, Gluten-Free, Chinese, Asian Fusion, Vietnamese","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}"
uE40984_YDgVvPeRpFcCaQ,The Fat Ham,3131 Walnut St,Philadelphia,PA,39.9524388,-75.1873387,4.0,286,"Southern, Tapas/Small Plates, Restaurants","{'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '16:0-21:0'}"
lYcLhUkVU8HSm-5hAUKzbw,Filomena Lakeview,1738 Cooper St,Woodbury,NJ,39.8186697,-75.097227,4.0,217,"American (New), American (Traditional), Bars, Pizza, Nightlife, Caterers, Restaurants, Seafood, Italian, Event Planning & Services","{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:30', 'Saturday': '11:30-21:30', 'Sunday': '11:30-20:0'}"
ksVNbLJtHk7OXvpG-j_N-g,Al-Tarboush Deli,602 Westgate Ave,St Louis,MO,38.6561451,-90.3041221,4.5,124,"Greek, Tobacco Shops, Shopping, Mediterranean, Middle Eastern, Restaurants, Delis","{'Monday': '11:0-19:0', 'Tuesday': '11:0-19:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-19:0'}"
N6BC3jZ9v9S4TAG7N5VuZQ,Wow! That's Fresh,1426 W Brandon Blvd,Brandon,FL,27.9378225,-82.3047348,4.0,144,"Restaurants, Burgers, Pizza, Salad","{'Monday': '0:0-0:0', 'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:0', 'Saturday': '10:30-22:0', 'Sunday': '10:30-20:0'}"
b8oNNY0PG7FxXidWhWuA6A,Wahoo's Waterside Pub & Patio,17801 Gulf Blvd,Redingtn Shor,FL,27.827982,-82.829729,4.0,271,"Seafood, Restaurants, Nightlife, Burgers, Bars, Cajun/Creole","{'Monday': '11:30-23:0', 'Tuesday': '11:30-23:0', 'Wednesday': '11:30-23:0', 'Thursday': '11:30-23:0', 'Friday': '11:30-23:0', 'Saturday': '11:30-23:0', 'Sunday': '11:30-23:0'}"
XI3Tcr3eDAzu8lMiRFaNWA,Nik-N-Willies Pizza & Deli,1485 Geiger Grade Rd,Reno,NV,39.3924376,-119.7235781,4.5,177,"Pizza, Delis, Restaurants","{'Tuesday': '11:0-20:30', 'Wednesday': '11:0-20:30', 'Thursday': '11:0-20:30', 'Friday': '11:0-20:30', 'Saturday': '11:0-20:30', 'Sunday': '11:0-20:30'}"
bf32KWp9yvN-WT8c-QtbzA,Municipal Winemakers,22 Anacapa St,Santa Barbara,CA,34.4140355,-119.6885284,4.5,260,"Wineries, Wine Tasting Room, Arts & Entertainment, Beer, Wine & Spirits, Food","{'Monday': '0:0-0:0', 'Tuesday': '12:0-20:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-20:0'}"
XBRQ_MpGrRq8IeeNO_bYEw,Sakana Of Tokyo,"5252 E 82nd St, Ste 102",Indianapolis,IN,39.9056303,-86.0800315,3.5,105,"Restaurants, Japanese, Bars, Mongolian, Sushi Bars, Nightlife","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:30', 'Saturday': '17:0-22:30', 'Sunday': '12:0-20:0'}"
ZslqrrUvqh7gzSPSShgmDA,Cascata Caffe Ristorante Italiano,801 W Sproul Rd,Springfield,PA,39.943388,-75.3489154,3.0,111,"Italian, Restaurants","{'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-23:0', 'Saturday': '16:0-23:0', 'Sunday': '16:0-21:0'}"
